'yin'hui 银灰
'neng'tian'shi 能天使
'sai'lei'ya 塞雷娅
'xing'xiong 星熊
'shan'ling 闪灵
'ye'ying 夜莺
'an'jie'li'na 安洁莉娜
'ai'ya'fa'la 艾雅法拉
'yi'fu'li'te 伊芙利特
'tui'jin'zhi'wang 推进之王
'bao'xing 暴行
'fu'lan'ka 芙兰卡
'la'pu'lan'de 拉普兰德
'yin'tuo'luo 因陀罗
'you'ling'sha 幽灵鲨
'bai'jin 白金
'lan'du 蓝毒
'pu'luo'wang'si 普罗旺斯
'shou'lin'ren 守林人
'yun'xing 陨星
'huo'shen 火神
'ke'song 可颂
'lei'she 雷蛇
'lin'guang 临光
'bai'mian'xiao 白面鸮
'he'mo 赫默
'hua'fa'lin 华法琳
'chu'xue 初雪
'kong 空
'mei'er 梅尔
'zhen'li 真理
'a'mi'ya 阿米娅
'tian'huo 天火
'hong 红
'shi'xie 狮蝎
'shi'tie'shou 食铁兽
'ya'xin 崖心
'de'ke'sa'si 德克萨斯
'lin'dong 凛冬
'ai'si'dai'er 艾丝黛尔
'chan'wan 缠丸
'du'bin 杜宾
'mu'si 慕斯
'shuang'ye 霜叶
'bai'xue 白雪
'jie'xi'ka 杰西卡
'liu'xing 流星
'gu'mi 古米
'jiao'feng 角峰
'she'tu'xiang 蛇屠箱
'diao'xiang'shi 调香师
'jia'wei'er 嘉维尔
'mo'yao 末药
'di'ling 地灵
'shen'hai'se 深海色
'ye'yan 夜烟
'yuan'shan 远山
'a'xiao 阿消
'an'suo 暗索
'li 砾
'hong'dou 红豆
'qing'dao'fu 清道夫
'xun'shi 讯使
'mei'lan'sha 玫兰莎
'an'de'qie'er 安德切尔
'ke'luo'si 克洛丝
'ka'ti 卡缇
'mi'ge'lu 米格鲁
'an'sai'er 安赛尔
'fu'rong 芙蓉
'zi'lan 梓兰
'shi'dou'hua'de 史都华德
'yan'rong 炎熔
'fen 芬
'ling'yu 翎羽
'xiang'cao 香草
'xun'lin'zhe 巡林者
'hei'jiao 黑角
'12F 12F
'du'lin 杜林
'ye'dao 夜刀
'Castle-3 Castle-3
'Lancet-2 Lancet-2
'kong'bao 空爆
'si'ka'di 斯卡蒂
'ye'mo 夜魔
'ge'la'ni 格拉尼
'lie'feng 猎蜂
'yue'jian'ye 月见夜
'chen 陈
'shi'huai'ya 诗怀雅
'ge'lei'yi 格雷伊
'pao'pu'ka 泡普卡
'ban'dian 斑点
'hei 黑
'xi'lan 锡兰
'ge'lao'ke'si 格劳克斯
'su'su'luo 苏苏洛
'he'la'ge 赫拉格
'xing'ji 星极
'tao'jin'niang 桃金娘
'jian'lei 坚雷
'mai'zhe'lun 麦哲伦
'yan'ke 炎客
'song'zang'ren 送葬人
'hong'yun 红云
'wei'feng 微风
'yi'sang 伊桑
'mo'si'ti'ma 莫斯提马
'bai'song 拜松
'huai'hu 槐琥
'mei 梅
'bu'luo'ka 布洛卡
'wei'cao 苇草
'huang 煌
'hui'hou 灰喉
'an'bi'er 安比尔
'xue'zhi 雪雉
'nian 年
'a 阿
'hong 吽
'ke'e'bai 刻俄柏
'jing'zhe 惊蛰
'qing'liu 清流
'feng'di 风笛
'bai'hui 柏喙
'she'sha 慑砂
'yan 宴
'duan'zui'zhe 断罪者
'gui'ying 傀影
'zhu'tie 铸铁
'wu'lian 巫恋
'ke'dao 刻刀
'W W
'wen'di 温蒂
'ji'jing 极境
'THRM-EX THRM-EX
'shi'mian 石棉
'yue'he 月禾
'zao'lu 早露
'ku'ai 苦艾
'lai'en'ha'te 莱恩哈特
'bo'deng'ke 波登可
'ling'lan 铃兰
'duan'ya 断崖
'ya'ye 亚叶
'ka'da 卡达
'xi'yin 稀音
'mi'la 蜜蜡
'jia'wei 贾维
'ji'ci 棘刺
'an'zhe'la 安哲拉
'jie 孑
'sen'ran 森蚺
'sui'shi 燧石
'te'mi'mi 特米米
'suan'tang 酸糖
'shi'er'te'er 史尔特尔
'si'yue 四月
'bao'lv 薄绿
'fang'ting 芳汀
'xia'guang 瑕光
'bian'ren 鞭刃
'ao'si'ta 奥斯塔
'pao'pao 泡泡
'mi'die'xiang 迷迭香
'ni'yan 泥岩
'a'mi'ya'（'jin'wei'） 阿米娅（近卫）
'xu'yu 絮雨
'jie'ke 杰克
'shan 山
'ka'fu'ka 卡夫卡
'luo'bin 罗宾
'song'guo 松果
'kong'xian 空弦
'ai'li'si 爱丽丝
'dou'miao 豆苗
'tu'ye 图耶
'xi 夕
'cuo'e 嵯峨
'yan'yu'yan'rong 炎狱炎熔
'wu'you 乌有
'hui'jin 灰烬
'zhan'che 战车
'shan'ji 闪击
'shuang'hua 霜华
'yi'ke 异客
'rong'quan 熔泉
'bao'yu 暴雨
'kai'er'xi 凯尔希
'zhuo'xin'si'ka'di 浊心斯卡蒂
'ge'lei'di'ya 歌蕾蒂娅
'chi'dong 赤冬
'ka'nie'li'an 卡涅利安
'bei'na 贝娜
'qi'liang 绮良
'shen'dian 深靛
'pa'la'si 帕拉斯
'jia'ri'wei'long'chen 假日威龙陈
'shui'yue 水月
'long'she'lan 龙舌兰
'yu'mao'bi 羽毛笔
'qin'liu 琴柳
'sang'shen 桑葚
'luo'bi'la'ta 罗比菈塔
'yuan'ya 远牙
'hui'hao 灰毫
'yao'qi'shi'lin'guang 耀骑士临光
'yan'wei 焰尾
'mi'mei 蜜莓
'shi'qing 蚀清
'ye'zong 野鬃
'bu'ding 布丁
'zheng'yi'qi'shi'hao 正义骑士号
'ling'zhi 灵知
'ji'guang 极光
'ye'la 耶拉
'ling 令
'lao'li 老鲤
'ye'ban 夜半
